SampleName	Class
GTEX.Y3IK.0226.SM.51MRJ	GTEX Normal Adrenal Gland
GTEX.12ZZZ.0926.SM.5N9EQ	GTEX Normal Adrenal Gland
GTEX.X4EO.1726.SM.4QARN	GTEX Normal Adrenal Gland
GTEX.144GL.1826.SM.79OMB	GTEX Normal Adrenal Gland
GTEX.VUSG.1526.SM.4KKZH	GTEX Normal Adrenal Gland
GTEX.12696.0626.SM.5EGGD	GTEX Normal Adrenal Gland
GTEX.13PL7.1026.SM.5MR5C	GTEX Normal Adrenal Gland
GTEX.W5WG.1126.SM.4LMK4	GTEX Normal Adrenal Gland
GTEX.1B8KZ.0126.SM.7DHM5	GTEX Normal Adrenal Gland
GTEX.18A6Q.1826.SM.72D6I	GTEX Normal Adrenal Gland
GTEX.1H11D.2426.SM.9JGGN	GTEX Normal Adrenal Gland
GTEX.14PK6.0126.SM.664O1	GTEX Normal Adrenal Gland
GTEX.1211K.0126.SM.59HJE	GTEX Normal Adrenal Gland
GTEX.1B8L1.1326.SM.7MKG6	GTEX Normal Adrenal Gland
GTEX.ZF2S.0126.SM.4WKFO	GTEX Normal Adrenal Gland
GTEX.XQ3S.1726.SM.4BOOD	GTEX Normal Adrenal Gland
GTEX.OIZF.1326.SM.3MJGU	GTEX Normal Adrenal Gland
GTEX.1BAJH.2626.SM.7EPG6	GTEX Normal Adrenal Gland
GTEX.14753.1726.SM.5NQ9X	GTEX Normal Adrenal Gland
GTEX.14E1K.0626.SM.5S2PG	GTEX Normal Adrenal Gland
GTEX.PW2O.0226.SM.48TC7	GTEX Normal Adrenal Gland
GTEX.131YS.2026.SM.5P9J8	GTEX Normal Adrenal Gland
GTEX.1KANB.2626.SM.EV7BF	GTEX Normal Adrenal Gland
GTEX.1GN73.1526.SM.9WPP1	GTEX Normal Adrenal Gland
GTEX.RNOR.1626.SM.EZ6MM	GTEX Normal Adrenal Gland
GTEX.1EKGG.2126.SM.7MKFT	GTEX Normal Adrenal Gland
GTEX.1A3MW.2126.SM.731DO	GTEX Normal Adrenal Gland
GTEX.OXRK.0126.SM.3NB1E	GTEX Normal Adrenal Gland
GTEX.13O3O.1626.SM.5KM1O	GTEX Normal Adrenal Gland
GTEX.XMK1.0226.SM.4B65D	GTEX Normal Adrenal Gland
GTEX.1LNCM.0826.SM.DHXL6	GTEX Normal Adrenal Gland
GTEX.QXCU.1326.SM.48FE2	GTEX Normal Adrenal Gland
GTEX.REY6.1726.SM.48FDL	GTEX Normal Adrenal Gland
GTEX.1I1GP.1826.SM.C1YS1	GTEX Normal Adrenal Gland
GTEX.ZEX8.0626.SM.DO118	GTEX Normal Adrenal Gland
GTEX.QMRM.0126.SM.CJI1R	GTEX Normal Adrenal Gland
GTEX.132NY.2226.SM.5J2LZ	GTEX Normal Adrenal Gland
GTEX.1K2DU.0826.SM.DHXKA	GTEX Normal Adrenal Gland
GTEX.18A7A.1826.SM.7KFTU	GTEX Normal Adrenal Gland
